Mask,Index,Name,R,G,B,A
aparc+aseg,643,Cbm_Right_VI_mid,30,144,255,255
aparc+aseg,644,Cbm_Right_VI_lat,100,212,237,255
aparc+aseg,645,Cbm_Right_CrusI_med,218,165,32,255
aparc+aseg,646,Cbm_Right_CrusI_mid,255,215,0,255
aparc+aseg,647,Cbm_Right_CrusI_lat,255,255,166,255
aparc+aseg,648,Cbm_Right_CrusII_med,153,0,204,255
aparc+aseg,649,Cbm_Right_CrusII_mid,153,141,209,255
aparc+aseg,650,Cbm_Right_CrusII_lat,204,204,255,255
aparc+aseg,651,Cbm_Right_7med,31,212,194,255
aparc+aseg,652,Cbm_Right_7mid,3,255,237,255
aparc+aseg,653,Cbm_Right_7lat,204,255,255,255
aparc+aseg,654,Cbm_Right_8med,86,74,147,255
aparc+aseg,655,Cbm_Right_8mid,114,114,190,255
aparc+aseg,656,Cbm_Right_8lat,184,178,255,255
aparc+aseg,657,Cbm_Right_PUNs,126,138,37,255
aparc+aseg,658,Cbm_Right_TONs,189,197,117,255
aparc+aseg,659,Cbm_Right_FLOs,240,230,140,255
aparc+aseg,660,Cbm_Left_I_V_med,204,0,0,255
aparc+aseg,661,Cbm_Left_I_V_mid,255,0,0,255
aparc+aseg,662,Cbm_Left_VI_med,0,0,255,255
aparc+aseg,663,Cbm_Left_VI_mid,30,144,255,255
aparc+aseg,664,Cbm_Left_VI_lat,100,212,237,255
aparc+aseg,665,Cbm_Left_CrusI_med,218,165,32,255
aparc+aseg,666,Cbm_Left_CrusI_mid,255,215,0,255
aparc+aseg,667,Cbm_Left_CrusI_lat,255,255,166,255
aparc+aseg,668,Cbm_Left_CrusII_med,153,0,204,255
aparc+aseg,669,Cbm_Left_CrusII_mid,153,141,209,255
aparc+aseg,670,Cbm_Left_CrusII_lat,204,204,255,255
aparc+aseg,671,Cbm_Left_7med,31,212,194,255
aparc+aseg,672,Cbm_Left_7mid,3,255,237,255
aparc+aseg,673,Cbm_Left_7lat,204,255,255,255
aparc+aseg,674,Cbm_Left_8med,86,74,147,255
aparc+aseg,675,Cbm_Left_8mid,114,114,190,255
aparc+aseg,676,Cbm_Left_8lat,184,178,255,255
aparc+aseg,677,Cbm_Left_PUNs,126,138,37,255
aparc+aseg,678,Cbm_Left_TONs,189,197,117,255
aparc+aseg,679,Cbm_Left_FLOs,240,230,140,255
aparc+aseg,690,CbmWM_Gyri_Left,122,135,50,255
aparc+aseg,691,CbmWM_Gyri_Right,122,135,50,255
aparc+aseg,701,CSF-FSL-FAST,120,18,134,255
aparc+aseg,702,GrayMatter-FSL-FAST,205,62,78,255
aparc+aseg,703,WhiteMatter-FSL-FAST,0,225,0,255
aparc+aseg,999,SUSPICIOUS,255,100,100,255
aparc+aseg,1000,ctx-lh-unknown,25,5,25,255
aparc+aseg,1001,ctx-lh-bankssts,25,100,40,255
aparc+aseg,1002,ctx-lh-caudalanteriorcingulate,125,100,160,255
aparc+aseg,1003,ctx-lh-caudalmiddlefrontal,100,25,0,255
aparc+aseg,1004,ctx-lh-corpuscallosum,120,70,50,255
aparc+aseg,1005,ctx-lh-cuneus,220,20,100,255
aparc+aseg,1006,ctx-lh-entorhinal,255,104,107,255
aparc+aseg,1007,ctx-lh-fusiform,180,220,140,255
aparc+aseg,1008,ctx-lh-inferiorparietal,220,60,220,255
aparc+aseg,1009,ctx-lh-inferiortemporal,180,40,120,255
aparc+aseg,1010,ctx-lh-isthmuscingulate,140,20,140,255
aparc+aseg,1011,ctx-lh-lateraloccipital,20,30,140,255
aparc+aseg,1012,ctx-lh-lateralorbitofrontal,35,75,50,255
aparc+aseg,1013,ctx-lh-lingual,225,140,140,255
aparc+aseg,1014,ctx-lh-medialorbitofrontal,200,35,75,255
aparc+aseg,1015,ctx-lh-middletemporal,160,100,50,255
aparc+aseg,1016,ctx-lh-parahippocampal,20,220,60,255
aparc+aseg,1017,ctx-lh-paracentral,60,220,60,255
aparc+aseg,1018,ctx-lh-parsopercularis,220,180,140,255
aparc+aseg,1019,ctx-lh-parsorbitalis,20,100,50,255
aparc+aseg,1020,ctx-lh-parstriangularis,220,60,20,255
aparc+aseg,1021,ctx-lh-pericalcarine,120,100,60,255
aparc+aseg,1022,ctx-lh-postcentral,220,20,20,255
aparc+aseg,1023,ctx-lh-posteriorcingulate,220,180,220,255
aparc+aseg,1024,ctx-lh-precentral,60,20,220,255
aparc+aseg,1025,ctx-lh-precuneus,160,140,180,255
aparc+aseg,1026,ctx-lh-rostralanteriorcingulate,80,20,140,255
aparc+aseg,1027,ctx-lh-rostralmiddlefrontal,75,50,125,255
aparc+aseg,1028,ctx-lh-superiorfrontal,20,220,160,255
aparc+aseg,1029,ctx-lh-superiorparietal,20,180,140,255
aparc+aseg,1030,ctx-lh-superiortemporal,140,220,220,255
aparc+aseg,1031,ctx-lh-supramarginal,80,160,20,255
aparc+aseg,1032,ctx-lh-frontalpole,100,0,100,255
aparc+aseg,1033,ctx-lh-temporalpole,250,0,250,255
aparc+aseg,1034,ctx-lh-transversetemporal,150,150,200,255
aparc+aseg,1035,ctx-lh-insula,255,192,32,255
aparc+aseg,2000,ctx-rh-unknown,25,5,25,255
