Mask,Index,Name,R,G,B,A
aparc+aseg,4128,wm-rh-G_rectus,20,60,100,255
aparc+aseg,4129,wm-rh-G_subcallosal,60,220,20,255
aparc+aseg,4130,wm-rh-G_subcentral,60,20,220,255
aparc+aseg,4131,wm-rh-G_temporal_inferior,220,220,100,255
aparc+aseg,4132,wm-rh-G_temporal_middle,180,60,60,255
aparc+aseg,4133,wm-rh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,255
aparc+aseg,4134,wm-rh-G_temp_sup-Lateral_aspect,220,60,220,255
aparc+aseg,4135,wm-rh-G_temp_sup-Planum_polare,65,220,60,255
aparc+aseg,4136,wm-rh-G_temp_sup-Planum_tempolare,25,140,20,255
aparc+aseg,4137,wm-rh-G_and_S_transverse_frontopolar,13,0,250,255
aparc+aseg,4138,wm-rh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,255
aparc+aseg,4139,wm-rh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,255
aparc+aseg,4140,wm-rh-Lat_Fissure-post_sgt,61,60,100,255
aparc+aseg,4141,wm-rh-Medial_wall,25,25,25,255
aparc+aseg,4142,wm-rh-Pole_occipital,140,20,60,255
aparc+aseg,4143,wm-rh-Pole_temporal,220,180,20,255
aparc+aseg,4144,wm-rh-S_calcarine,63,180,180,255
aparc+aseg,4145,wm-rh-S_central,221,20,10,255
aparc+aseg,4146,wm-rh-S_central_insula,21,220,20,255
aparc+aseg,4147,wm-rh-S_cingulate-Main_part_and_Intracingulate,183,100,20,255
aparc+aseg,4148,wm-rh-S_cingulate-Marginalis_part,221,20,100,255
aparc+aseg,4149,wm-rh-S_circular_insula_anterior,221,60,140,255
aparc+aseg,4150,wm-rh-S_circular_insula_inferior,221,20,220,255
aparc+aseg,4151,wm-rh-S_circular_insula_superior,61,220,220,255
aparc+aseg,4152,wm-rh-S_collateral_transverse_ant,100,200,200,255
aparc+aseg,4153,wm-rh-S_collateral_transverse_post,10,200,200,255
aparc+aseg,4154,wm-rh-S_frontal_inferior,221,220,20,255
aparc+aseg,4155,wm-rh-S_frontal_middle,141,20,100,255
aparc+aseg,4156,wm-rh-S_frontal_superior,61,220,100,255
aparc+aseg,4157,wm-rh-S_frontomarginal,21,220,60,255
aparc+aseg,4158,wm-rh-S_intermedius_primus-Jensen,141,60,20,255
aparc+aseg,4159,wm-rh-S_intraparietal-and_Parietal_transverse,143,20,220,255
aparc+aseg,4160,wm-rh-S_occipital_anterior,61,20,180,255
aparc+aseg,4161,wm-rh-S_occipital_middle_and_Lunatus,101,60,220,255
aparc+aseg,4162,wm-rh-S_occipital_superior_and_transversalis,21,20,140,255
aparc+aseg,4163,wm-rh-S_occipito-temporal_lateral,221,140,20,255
aparc+aseg,4164,wm-rh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,255
aparc+aseg,4165,wm-rh-S_orbital-H_shapped,101,20,20,255
aparc+aseg,4166,wm-rh-S_orbital_lateral,221,100,20,255
aparc+aseg,4167,wm-rh-S_orbital_medial-Or_olfactory,181,200,20,255
aparc+aseg,4168,wm-rh-S_paracentral,21,180,140,255
aparc+aseg,4169,wm-rh-S_parieto_occipital,101,100,180,255
aparc+aseg,4170,wm-rh-S_pericallosal,181,220,20,255
aparc+aseg,4171,wm-rh-S_postcentral,21,140,200,255
aparc+aseg,4172,wm-rh-S_precentral-Inferior-part,21,20,240,255
aparc+aseg,4173,wm-rh-S_precentral-Superior-part,21,20,200,255
aparc+aseg,4174,wm-rh-S_subcentral_ant,61,180,60,255
aparc+aseg,4175,wm-rh-S_subcentral_post,61,180,250,255
aparc+aseg,4176,wm-rh-S_suborbital,21,20,60,255
aparc+aseg,4177,wm-rh-S_subparietal,101,60,60,255
aparc+aseg,4178,wm-rh-S_supracingulate,21,220,220,255
aparc+aseg,4179,wm-rh-S_temporal_inferior,21,180,180,255
aparc+aseg,4180,wm-rh-S_temporal_superior,223,220,60,255
aparc+aseg,4181,wm-rh-S_temporal_transverse,221,60,60,255
aparc+aseg,5001,Left-UnsegmentedWhiteMatter,20,30,40,255
aparc+aseg,5002,Right-UnsegmentedWhiteMatter,20,30,40,255
aparc+aseg,5100,fmajor,204,102,102,255
aparc+aseg,5101,fminor,204,102,102,255
aparc+aseg,5102,lh.atr,255,255,102,255
aparc+aseg,5103,lh.cab,153,204,0,255
aparc+aseg,5104,lh.ccg,0,153,153,255
aparc+aseg,5105,lh.cst,204,153,255,255
aparc+aseg,5106,lh.ilf,255,153,51,255
aparc+aseg,5107,lh.slfp,204,204,204,255
aparc+aseg,5108,lh.slft,153,255,255,255
aparc+aseg,5109,lh.unc,102,153,255,255
aparc+aseg,5110,rh.atr,255,255,102,255
aparc+aseg,5111,rh.cab,153,204,0,255
aparc+aseg,5112,rh.ccg,0,153,153,255
aparc+aseg,5113,rh.cst,204,153,255,255
aparc+aseg,5114,rh.ilf,255,153,51,255
aparc+aseg,5115,rh.slfp,204,204,204,255
aparc+aseg,5116,rh.slft,153,255,255,255
aparc+aseg,5117,rh.unc,102,153,255,255
aparc+aseg,5200,CC-ForcepsMajor,204,102,102,255
aparc+aseg,5201,CC-ForcepsMinor,204,102,102,255
aparc+aseg,5202,LAntThalRadiation,255,255,102,255
aparc+aseg,5203,LCingulumAngBundle,153,204,0,255
aparc+aseg,5204,LCingulumCingGyrus,0,153,153,255
aparc+aseg,5205,LCorticospinalTract,204,153,255,255
aparc+aseg,5206,LInfLongFas,255,153,51,255
aparc+aseg,5207,LSupLongFasParietal,204,204,204,255
aparc+aseg,5208,LSupLongFasTemporal,153,255,255,255
aparc+aseg,5209,LUncinateFas,102,153,255,255
aparc+aseg,5210,RAntThalRadiation,255,255,102,255
aparc+aseg,5211,RCingulumAngBundle,153,204,0,255
aparc+aseg,5212,RCingulumCingGyrus,0,153,153,255
aparc+aseg,5213,RCorticospinalTract,204,153,255,255
aparc+aseg,5214,RInfLongFas,255,153,51,255
aparc+aseg,5215,RSupLongFasParietal,204,204,204,255
aparc+aseg,5216,RSupLongFasTemporal,153,255,255,255
aparc+aseg,5217,RUncinateFas,102,153,255,255
aparc+aseg,6000,CST-orig,0,255,0,255
aparc+aseg,6001,CST-hammer,255,255,0,255
aparc+aseg,6002,CST-CVS,0,255,255,255
aparc+aseg,6003,CST-flirt,0,0,255,255
aparc+aseg,6010,Left-SLF1,236,16,231,255
aparc+aseg,6020,Right-SLF1,237,18,232,255
aparc+aseg,6030,Left-SLF3,236,13,227,255
aparc+aseg,6040,Right-SLF3,236,17,228,255
aparc+aseg,6050,Left-CST,1,255,1,255
aparc+aseg,6060,Right-CST,2,255,1,255
aparc+aseg,6070,Left-SLF2,236,14,230,255
aparc+aseg,6080,Right-SLF2,237,14,230,255
aparc+aseg,7001,Lateral-nucleus,72,132,181,255
aparc+aseg,7002,Basolateral-nucleus,243,243,243,255
aparc+aseg,7003,Basal-nucleus,207,63,79,255
aparc+aseg,7004,Centromedial-nucleus,121,20,135,255
aparc+aseg,7005,Central-nucleus,197,60,248,255
aparc+aseg,7006,Medial-nucleus,2,149,2,255
aparc+aseg,7007,Cortical-nucleus,221,249,166,255
aparc+aseg,7008,Accessory-Basal-nucleus,232,146,35,255
aparc+aseg,7009,Corticoamygdaloid-transitio,20,60,120,255
aparc+aseg,7010,Anterior-amygdaloid-area-AAA,250,250,0,255
aparc+aseg,7011,Fusion-amygdala-HP-FAH,122,187,222,255
aparc+aseg,7012,Hippocampal-amygdala-transition-HATA,237,12,177,255
aparc+aseg,7013,Endopiriform-nucleus,10,49,255,255
aparc+aseg,7014,Lateral-nucleus-olfactory-tract,205,184,144,255
aparc+aseg,7015,Paralaminar-nucleus,45,205,165,255
aparc+aseg,7016,Intercalated-nucleus,117,160,175,255
aparc+aseg,7017,Prepiriform-cortex,221,217,21,255
aparc+aseg,7018,Periamygdaloid-cortex,20,60,120,255
aparc+aseg,7019,Envelope-Amygdala,141,21,100,255
aparc+aseg,7020,Extranuclear-Amydala,225,140,141,255
aparc+aseg,7100,Brainstem-inferior-colliculus,42,201,168,255
aparc+aseg,7101,Brainstem-cochlear-nucleus,168,104,162,255
aparc+aseg,8001,Thalamus-Anterior,74,130,181,255
aparc+aseg,8002,Thalamus-Ventral-anterior,242,241,240,255
aparc+aseg,8003,Thalamus-Lateral-dorsal,206,65,78,255
aparc+aseg,8004,Thalamus-Lateral-posterior,120,21,133,255
aparc+aseg,8005,Thalamus-Ventral-lateral,195,61,246,255
aparc+aseg,8006,Thalamus-Ventral-posterior-medial,3,147,6,255
aparc+aseg,8007,Thalamus-Ventral-posterior-lateral,220,251,163,255
aparc+aseg,8008,Thalamus-intralaminar,232,146,33,255
aparc+aseg,8009,Thalamus-centromedian,4,114,14,255
aparc+aseg,8010,Thalamus-mediodorsal,121,184,220,255
aparc+aseg,8011,Thalamus-medial,235,11,175,255
aparc+aseg,8012,Thalamus-pulvinar,12,46,250,255
aparc+aseg,8013,Thalamus-lateral-geniculate,203,182,143,255
aparc+aseg,8014,Thalamus-medial-geniculate,42,204,167,255
aparc+aseg,8103,Left-AV,0,85,0,255
aparc+aseg,8104,Left-CeM,170,85,0,255
aparc+aseg,8105,Left-CL,0,170,0,255
aparc+aseg,8106,Left-CM,170,170,0,255
aparc+aseg,8108,Left-LD,170,255,0,255
aparc+aseg,8109,Left-LGN,0,0,127,255
aparc+aseg,8110,Left-LP,0,85,127,255
aparc+aseg,8111,Left-L-Sg,170,85,127,255
aparc+aseg,8112,Left-MDl,0,170,127,255
aparc+aseg,8113,Left-MDm,170,170,127,255
aparc+aseg,8115,Left-MGN,170,255,127,255
aparc+aseg,8116,Left-MV(Re),0,0,255,255
aparc+aseg,8117,Left-Pc,170,0,255,255
aparc+aseg,8118,Left-Pf,0,85,255,255
aparc+aseg,8119,Left-Pt,170,85,255,255
aparc+aseg,8120,Left-PuA,0,170,255,255
aparc+aseg,8121,Left-PuI,170,170,255,255
aparc+aseg,8122,Left-PuL,0,255,255,255
aparc+aseg,8123,Left-PuM,170,255,255,255
aparc+aseg,8125,Left-R,255,0,0,255
aparc+aseg,8126,Left-VA,85,85,0,255
aparc+aseg,8127,Left-VAmc,255,85,0,255
aparc+aseg,8128,Left-VLa,85,170,0,255
aparc+aseg,8129,Left-VLp,255,170,0,255
aparc+aseg,8130,Left-VM,85,255,0,255
aparc+aseg,8133,Left-VPL,255,0,255,255
aparc+aseg,8203,Right-AV,0,85,0,255
aparc+aseg,8204,Right-CeM,170,85,0,255
aparc+aseg,8205,Right-CL,0,170,0,255
aparc+aseg,8206,Right-CM,170,170,0,255
aparc+aseg,8208,Right-LD,170,255,0,255
aparc+aseg,8209,Right-LGN,0,0,127,255
aparc+aseg,8210,Right-LP,0,85,127,255
aparc+aseg,8211,Right-L-Sg,170,85,127,255
aparc+aseg,8212,Right-MDl,0,170,127,255
aparc+aseg,8213,Right-MDm,170,170,127,255
aparc+aseg,8215,Right-MGN,170,255,127,255
aparc+aseg,8216,Right-MV(Re),0,0,255,255
aparc+aseg,8217,Right-Pc,170,0,255,255
aparc+aseg,8218,Right-Pf,0,85,255,255
aparc+aseg,8219,Right-Pt,170,85,255,255
aparc+aseg,8220,Right-PuA,0,170,255,255
aparc+aseg,8221,Right-PuI,170,170,255,255
aparc+aseg,8222,Right-PuL,0,255,255,255
aparc+aseg,8223,Right-PuM,170,255,255,255
aparc+aseg,8225,Right-R,255,0,0,255
aparc+aseg,8226,Right-VA,85,85,0,255
aparc+aseg,8227,Right-VAmc,255,85,0,255
aparc+aseg,8228,Right-VLa,85,170,0,255
aparc+aseg,8229,Right-VLp,255,170,0,255
aparc+aseg,8230,Right-VM,85,255,0,255
aparc+aseg,8233,Right-VPL,255,0,255,255
aparc+aseg,9000,ctx-lh-prefrontal,50,100,30,255
aparc+aseg,9001,ctx-lh-primary-motor,30,100,45,255
aparc+aseg,9002,ctx-lh-premotor,130,100,165,255
aparc+aseg,9003,ctx-lh-temporal,105,25,5,255
aparc+aseg,9004,ctx-lh-posterior-parietal,125,70,55,255
aparc+aseg,9005,ctx-lh-prim-sec-somatosensory,225,20,105,255
aparc+aseg,9006,ctx-lh-occipital,225,20,15,255
aparc+aseg,9500,ctx-rh-prefrontal,50,200,30,255
aparc+aseg,9501,ctx-rh-primary-motor,30,150,45,255
aparc+aseg,9502,ctx-rh-premotor,130,150,165,255
aparc+aseg,9503,ctx-rh-temporal,105,75,5,255
aparc+aseg,9504,ctx-rh-posterior-parietal,125,120,55,255
aparc+aseg,9505,ctx-rh-prim-sec-somatosensory,225,70,105,255
aparc+aseg,9506,ctx-rh-occipital,225,70,15,255
aparc+aseg,11100,ctx_lh_Unknown,0,0,0,255
aparc+aseg,11101,ctx_lh_G_and_S_frontomargin,23,220,60,255
aparc+aseg,11102,ctx_lh_G_and_S_occipital_inf,23,60,180,255
aparc+aseg,11103,ctx_lh_G_and_S_paracentral,63,100,60,255
aparc+aseg,11104,ctx_lh_G_and_S_subcentral,63,20,220,255
aparc+aseg,11105,ctx_lh_G_and_S_transv_frontopol,13,0,250,255
aparc+aseg,11106,ctx_lh_G_and_S_cingul-Ant,26,60,0,255
aparc+aseg,11107,ctx_lh_G_and_S_cingul-Mid-Ant,26,60,75,255
aparc+aseg,11108,ctx_lh_G_and_S_cingul-Mid-Post,26,60,150,255
aparc+aseg,11109,ctx_lh_G_cingul-Post-dorsal,25,60,250,255
aparc+aseg,11110,ctx_lh_G_cingul-Post-ventral,60,25,25,255
aparc+aseg,11111,ctx_lh_G_cuneus,180,20,20,255
aparc+aseg,11112,ctx_lh_G_front_inf-Opercular,220,20,100,255
aparc+aseg,11113,ctx_lh_G_front_inf-Orbital,140,60,60,255
aparc+aseg,11114,ctx_lh_G_front_inf-Triangul,180,220,140,255
aparc+aseg,11115,ctx_lh_G_front_middle,140,100,180,255
aparc+aseg,11116,ctx_lh_G_front_sup,180,20,140,255
aparc+aseg,11117,ctx_lh_G_Ins_lg_and_S_cent_ins,23,10,10,255
aparc+aseg,11118,ctx_lh_G_insular_short,225,140,140,255
aparc+aseg,11119,ctx_lh_G_occipital_middle,180,60,180,255
aparc+aseg,11120,ctx_lh_G_occipital_sup,20,220,60,255
aparc+aseg,11121,ctx_lh_G_oc-temp_lat-fusifor,60,20,140,255
aparc+aseg,11122,ctx_lh_G_oc-temp_med-Lingual,220,180,140,255
aparc+aseg,11123,ctx_lh_G_oc-temp_med-Parahip,65,100,20,255
aparc+aseg,11124,ctx_lh_G_orbital,220,60,20,255
aparc+aseg,11125,ctx_lh_G_pariet_inf-Angular,20,60,220,255
aparc+aseg,11126,ctx_lh_G_pariet_inf-Supramar,100,100,60,255
aparc+aseg,11127,ctx_lh_G_parietal_sup,220,180,220,255
aparc+aseg,11128,ctx_lh_G_postcentral,20,180,140,255
aparc+aseg,11129,ctx_lh_G_precentral,60,140,180,255
aparc+aseg,11130,ctx_lh_G_precuneus,25,20,140,255
aparc+aseg,11131,ctx_lh_G_rectus,20,60,100,255
aparc+aseg,11132,ctx_lh_G_subcallosal,60,220,20,255
aparc+aseg,11133,ctx_lh_G_temp_sup-G_T_transv,60,60,220,255
aparc+aseg,11134,ctx_lh_G_temp_sup-Lateral,220,60,220,255
aparc+aseg,11135,ctx_lh_G_temp_sup-Plan_polar,65,220,60,255
aparc+aseg,11136,ctx_lh_G_temp_sup-Plan_tempo,25,140,20,255
aparc+aseg,11137,ctx_lh_G_temporal_inf,220,220,100,255
aparc+aseg,11138,ctx_lh_G_temporal_middle,180,60,60,255
aparc+aseg,11139,ctx_lh_Lat_Fis-ant-Horizont,61,20,220,255
aparc+aseg,11140,ctx_lh_Lat_Fis-ant-Vertical,61,20,60,255
aparc+aseg,11141,ctx_lh_Lat_Fis-post,61,60,100,255
aparc+aseg,11142,ctx_lh_Medial_wall,25,25,25,255
aparc+aseg,11143,ctx_lh_Pole_occipital,140,20,60,255
aparc+aseg,11144,ctx_lh_Pole_temporal,220,180,20,255
aparc+aseg,11145,ctx_lh_S_calcarine,63,180,180,255
aparc+aseg,11146,ctx_lh_S_central,221,20,10,255
aparc+aseg,11147,ctx_lh_S_cingul-Marginalis,221,20,100,255
aparc+aseg,11148,ctx_lh_S_circular_insula_ant,221,60,140,255
aparc+aseg,11149,ctx_lh_S_circular_insula_inf,221,20,220,255
aparc+aseg,11150,ctx_lh_S_circular_insula_sup,61,220,220,255
aparc+aseg,11151,ctx_lh_S_collat_transv_ant,100,200,200,255
aparc+aseg,11152,ctx_lh_S_collat_transv_post,10,200,200,255
aparc+aseg,11153,ctx_lh_S_front_inf,221,220,20,255
aparc+aseg,11154,ctx_lh_S_front_middle,141,20,100,255
aparc+aseg,11155,ctx_lh_S_front_sup,61,220,100,255
aparc+aseg,11156,ctx_lh_S_interm_prim-Jensen,141,60,20,255
aparc+aseg,11157,ctx_lh_S_intrapariet_and_P_trans,143,20,220,255
aparc+aseg,11158,ctx_lh_S_oc_middle_and_Lunatus,101,60,220,255
aparc+aseg,11159,ctx_lh_S_oc_sup_and_transversal,21,20,140,255
aparc+aseg,11160,ctx_lh_S_occipital_ant,61,20,180,255
aparc+aseg,11161,ctx_lh_S_oc-temp_lat,221,140,20,255
aparc+aseg,11162,ctx_lh_S_oc-temp_med_and_Lingual,141,100,220,255
aparc+aseg,11163,ctx_lh_S_orbital_lateral,221,100,20,255
aparc+aseg,11164,ctx_lh_S_orbital_med-olfact,181,200,20,255
aparc+aseg,11165,ctx_lh_S_orbital-H_Shaped,101,20,20,255
aparc+aseg,11166,ctx_lh_S_parieto_occipital,101,100,180,255
aparc+aseg,11167,ctx_lh_S_pericallosal,181,220,20,255
aparc+aseg,11168,ctx_lh_S_postcentral,21,140,200,255
aparc+aseg,11169,ctx_lh_S_precentral-inf-part,21,20,240,255
aparc+aseg,11170,ctx_lh_S_precentral-sup-part,21,20,200,255
aparc+aseg,11171,ctx_lh_S_suborbital,21,20,60,255
aparc+aseg,11172,ctx_lh_S_subparietal,101,60,60,255
aparc+aseg,11173,ctx_lh_S_temporal_inf,21,180,180,255
aparc+aseg,11174,ctx_lh_S_temporal_sup,223,220,60,255
aparc+aseg,11175,ctx_lh_S_temporal_transverse,221,60,60,255
aparc+aseg,12100,ctx_rh_Unknown,0,0,0,255
aparc+aseg,12101,ctx_rh_G_and_S_frontomargin,23,220,60,255
aparc+aseg,12102,ctx_rh_G_and_S_occipital_inf,23,60,180,255
aparc+aseg,12103,ctx_rh_G_and_S_paracentral,63,100,60,255
aparc+aseg,12104,ctx_rh_G_and_S_subcentral,63,20,220,255
aparc+aseg,12105,ctx_rh_G_and_S_transv_frontopol,13,0,250,255
aparc+aseg,12106,ctx_rh_G_and_S_cingul-Ant,26,60,0,255
aparc+aseg,12107,ctx_rh_G_and_S_cingul-Mid-Ant,26,60,75,255
aparc+aseg,12108,ctx_rh_G_and_S_cingul-Mid-Post,26,60,150,255
aparc+aseg,12109,ctx_rh_G_cingul-Post-dorsal,25,60,250,255
aparc+aseg,12110,ctx_rh_G_cingul-Post-ventral,60,25,25,255
aparc+aseg,12111,ctx_rh_G_cuneus,180,20,20,255
aparc+aseg,12112,ctx_rh_G_front_inf-Opercular,220,20,100,255
aparc+aseg,12113,ctx_rh_G_front_inf-Orbital,140,60,60,255
aparc+aseg,12114,ctx_rh_G_front_inf-Triangul,180,220,140,255
aparc+aseg,12115,ctx_rh_G_front_middle,140,100,180,255
aparc+aseg,12116,ctx_rh_G_front_sup,180,20,140,255
aparc+aseg,12117,ctx_rh_G_Ins_lg_and_S_cent_ins,23,10,10,255
aparc+aseg,12118,ctx_rh_G_insular_short,225,140,140,255
aparc+aseg,12119,ctx_rh_G_occipital_middle,180,60,180,255
aparc+aseg,12120,ctx_rh_G_occipital_sup,20,220,60,255
aparc+aseg,12121,ctx_rh_G_oc-temp_lat-fusifor,60,20,140,255
aparc+aseg,12122,ctx_rh_G_oc-temp_med-Lingual,220,180,140,255
aparc+aseg,12123,ctx_rh_G_oc-temp_med-Parahip,65,100,20,255
aparc+aseg,12124,ctx_rh_G_orbital,220,60,20,255
aparc+aseg,12125,ctx_rh_G_pariet_inf-Angular,20,60,220,255
aparc+aseg,12126,ctx_rh_G_pariet_inf-Supramar,100,100,60,255
aparc+aseg,12127,ctx_rh_G_parietal_sup,220,180,220,255
aparc+aseg,12128,ctx_rh_G_postcentral,20,180,140,255
aparc+aseg,12129,ctx_rh_G_precentral,60,140,180,255
aparc+aseg,12130,ctx_rh_G_precuneus,25,20,140,255
aparc+aseg,12131,ctx_rh_G_rectus,20,60,100,255
aparc+aseg,12132,ctx_rh_G_subcallosal,60,220,20,255
aparc+aseg,12133,ctx_rh_G_temp_sup-G_T_transv,60,60,220,255
aparc+aseg,12134,ctx_rh_G_temp_sup-Lateral,220,60,220,255
aparc+aseg,12135,ctx_rh_G_temp_sup-Plan_polar,65,220,60,255
aparc+aseg,12136,ctx_rh_G_temp_sup-Plan_tempo,25,140,20,255
aparc+aseg,12137,ctx_rh_G_temporal_inf,220,220,100,255
aparc+aseg,12138,ctx_rh_G_temporal_middle,180,60,60,255
aparc+aseg,12139,ctx_rh_Lat_Fis-ant-Horizont,61,20,220,255
aparc+aseg,12140,ctx_rh_Lat_Fis-ant-Vertical,61,20,60,255
aparc+aseg,12141,ctx_rh_Lat_Fis-post,61,60,100,255
aparc+aseg,12142,ctx_rh_Medial_wall,25,25,25,255
aparc+aseg,12143,ctx_rh_Pole_occipital,140,20,60,255
aparc+aseg,12144,ctx_rh_Pole_temporal,220,180,20,255
aparc+aseg,12145,ctx_rh_S_calcarine,63,180,180,255
aparc+aseg,12146,ctx_rh_S_central,221,20,10,255
aparc+aseg,12147,ctx_rh_S_cingul-Marginalis,221,20,100,255
aparc+aseg,12148,ctx_rh_S_circular_insula_ant,221,60,140,255
aparc+aseg,12149,ctx_rh_S_circular_insula_inf,221,20,220,255
aparc+aseg,12150,ctx_rh_S_circular_insula_sup,61,220,220,255
aparc+aseg,12151,ctx_rh_S_collat_transv_ant,100,200,200,255
aparc+aseg,12152,ctx_rh_S_collat_transv_post,10,200,200,255
aparc+aseg,12153,ctx_rh_S_front_inf,221,220,20,255
aparc+aseg,12154,ctx_rh_S_front_middle,141,20,100,255
aparc+aseg,12155,ctx_rh_S_front_sup,61,220,100,255
aparc+aseg,12156,ctx_rh_S_interm_prim-Jensen,141,60,20,255
aparc+aseg,12157,ctx_rh_S_intrapariet_and_P_trans,143,20,220,255
aparc+aseg,12158,ctx_rh_S_oc_middle_and_Lunatus,101,60,220,255
aparc+aseg,12159,ctx_rh_S_oc_sup_and_transversal,21,20,140,255
aparc+aseg,12160,ctx_rh_S_occipital_ant,61,20,180,255
aparc+aseg,12161,ctx_rh_S_oc-temp_lat,221,140,20,255
aparc+aseg,12162,ctx_rh_S_oc-temp_med_and_Lingual,141,100,220,255
aparc+aseg,12163,ctx_rh_S_orbital_lateral,221,100,20,255
aparc+aseg,12164,ctx_rh_S_orbital_med-olfact,181,200,20,255
aparc+aseg,12165,ctx_rh_S_orbital-H_Shaped,101,20,20,255
aparc+aseg,12166,ctx_rh_S_parieto_occipital,101,100,180,255
aparc+aseg,12167,ctx_rh_S_pericallosal,181,220,20,255
aparc+aseg,12168,ctx_rh_S_postcentral,21,140,200,255
aparc+aseg,12169,ctx_rh_S_precentral-inf-part,21,20,240,255
aparc+aseg,12170,ctx_rh_S_precentral-sup-part,21,20,200,255
aparc+aseg,12171,ctx_rh_S_suborbital,21,20,60,255
aparc+aseg,12172,ctx_rh_S_subparietal,101,60,60,255
aparc+aseg,12173,ctx_rh_S_temporal_inf,21,180,180,255
aparc+aseg,12174,ctx_rh_S_temporal_sup,223,220,60,255
aparc+aseg,12175,ctx_rh_S_temporal_transverse,221,60,60,255
aparc+aseg,13100,wm_lh_Unknown,0,0,0,255
aparc+aseg,13101,wm_lh_G_and_S_frontomargin,23,220,60,255
aparc+aseg,13102,wm_lh_G_and_S_occipital_inf,23,60,180,255
aparc+aseg,13103,wm_lh_G_and_S_paracentral,63,100,60,255
aparc+aseg,13104,wm_lh_G_and_S_subcentral,63,20,220,255
aparc+aseg,13105,wm_lh_G_and_S_transv_frontopol,13,0,250,255
aparc+aseg,13106,wm_lh_G_and_S_cingul-Ant,26,60,0,255
aparc+aseg,13107,wm_lh_G_and_S_cingul-Mid-Ant,26,60,75,255
aparc+aseg,13108,wm_lh_G_and_S_cingul-Mid-Post,26,60,150,255
aparc+aseg,13109,wm_lh_G_cingul-Post-dorsal,25,60,250,255
aparc+aseg,13110,wm_lh_G_cingul-Post-ventral,60,25,25,255
aparc+aseg,13111,wm_lh_G_cuneus,180,20,20,255
aparc+aseg,13112,wm_lh_G_front_inf-Opercular,220,20,100,255
aparc+aseg,13113,wm_lh_G_front_inf-Orbital,140,60,60,255
aparc+aseg,13114,wm_lh_G_front_inf-Triangul,180,220,140,255
aparc+aseg,13115,wm_lh_G_front_middle,140,100,180,255
aparc+aseg,13116,wm_lh_G_front_sup,180,20,140,255
aparc+aseg,13117,wm_lh_G_Ins_lg_and_S_cent_ins,23,10,10,255
aparc+aseg,13118,wm_lh_G_insular_short,225,140,140,255
aparc+aseg,13119,wm_lh_G_occipital_middle,180,60,180,255
aparc+aseg,13120,wm_lh_G_occipital_sup,20,220,60,255
aparc+aseg,13121,wm_lh_G_oc-temp_lat-fusifor,60,20,140,255
aparc+aseg,13122,wm_lh_G_oc-temp_med-Lingual,220,180,140,255
aparc+aseg,13123,wm_lh_G_oc-temp_med-Parahip,65,100,20,255
aparc+aseg,13124,wm_lh_G_orbital,220,60,20,255
aparc+aseg,13125,wm_lh_G_pariet_inf-Angular,20,60,220,255
aparc+aseg,13126,wm_lh_G_pariet_inf-Supramar,100,100,60,255
aparc+aseg,13127,wm_lh_G_parietal_sup,220,180,220,255
aparc+aseg,13128,wm_lh_G_postcentral,20,180,140,255
aparc+aseg,13129,wm_lh_G_precentral,60,140,180,255
aparc+aseg,13130,wm_lh_G_precuneus,25,20,140,255
aparc+aseg,13131,wm_lh_G_rectus,20,60,100,255
aparc+aseg,13132,wm_lh_G_subcallosal,60,220,20,255
aparc+aseg,13133,wm_lh_G_temp_sup-G_T_transv,60,60,220,255
aparc+aseg,13134,wm_lh_G_temp_sup-Lateral,220,60,220,255
aparc+aseg,13135,wm_lh_G_temp_sup-Plan_polar,65,220,60,255
aparc+aseg,13136,wm_lh_G_temp_sup-Plan_tempo,25,140,20,255
aparc+aseg,13137,wm_lh_G_temporal_inf,220,220,100,255
aparc+aseg,13138,wm_lh_G_temporal_middle,180,60,60,255
aparc+aseg,13139,wm_lh_Lat_Fis-ant-Horizont,61,20,220,255
aparc+aseg,13140,wm_lh_Lat_Fis-ant-Vertical,61,20,60,255
aparc+aseg,13141,wm_lh_Lat_Fis-post,61,60,100,255
aparc+aseg,13142,wm_lh_Medial_wall,25,25,25,255
aparc+aseg,13143,wm_lh_Pole_occipital,140,20,60,255
aparc+aseg,13144,wm_lh_Pole_temporal,220,180,20,255
aparc+aseg,13145,wm_lh_S_calcarine,63,180,180,255
aparc+aseg,13146,wm_lh_S_central,221,20,10,255
aparc+aseg,13147,wm_lh_S_cingul-Marginalis,221,20,100,255
aparc+aseg,13148,wm_lh_S_circular_insula_ant,221,60,140,255
aparc+aseg,13149,wm_lh_S_circular_insula_inf,221,20,220,255
aparc+aseg,13150,wm_lh_S_circular_insula_sup,61,220,220,255
aparc+aseg,13151,wm_lh_S_collat_transv_ant,100,200,200,255
aparc+aseg,13152,wm_lh_S_collat_transv_post,10,200,200,255
aparc+aseg,13153,wm_lh_S_front_inf,221,220,20,255
aparc+aseg,13154,wm_lh_S_front_middle,141,20,100,255
aparc+aseg,13155,wm_lh_S_front_sup,61,220,100,255
aparc+aseg,13156,wm_lh_S_interm_prim-Jensen,141,60,20,255
